rank_order,name,location,loc_count
10,University of Oxford,United Kingdom,92
20,Harvard University,United States of America,160
30,University of Cambridge,United Kingdom,92
40,Stanford University,United States of America,160
50,Massachusetts Institute of Technology,United States of America,160
60,California Institute of Technology,United States of America,160
70,Princeton University,United States of America,160
80,"University of California, Berkeley",United States of America,160
90,Yale University,United States of America,160
100,Imperial College London,United Kingdom,92
110,Columbia University,United States of America,160
120,ETH Zurich,Switzerland,12
130,The University of Chicago,United States of America,160
140,University of Pennsylvania,United States of America,160
150,Johns Hopkins University,United States of America,160
160,Tsinghua University,China,64
170,Peking University,China,64
180,University of Toronto,Canada,30
190,National University of Singapore,Singapore,2
200,Cornell University,United States of America,160
210,"University of California, Los Angeles",United States of America,160
220,UCL,United Kingdom,92
230,University of Michigan-Ann Arbor,United States of America,160
240,New York University,United States of America,160
250,Duke University,United States of America,160
260,Northwestern University,United States of America,160
270,University of Washington,United States of America,160
280,Carnegie Mellon University,United States of America,160
290,University of Edinburgh,United Kingdom,92
300,Technical University of Munich,Germany,49
310,University of Hong Kong,Hong Kong,6
320,"University of California, San Diego",United States of America,160
330,LMU Munich,Germany,49
340,University of Melbourne,Australia,36
350,King’s College London,United Kingdom,92
360,"Nanyang Technological University, Singapore",Singapore,2
370,London School of Economics and Political Science,United Kingdom,92
380,Georgia Institute of Technology,United States of America,160
390,The University of Tokyo,Japan,22
400,University of British Columbia,Canada,30
410,École Polytechnique Fédérale de Lausanne,Switzerland,12
420,KU Leuven,Belgium,10
430,Universität Heidelberg,Germany,49
440,Monash University,Australia,36
450,Chinese University of Hong Kong,Hong Kong,6
460,McGill University,Canada,30
470,Paris Sciences et Lettres – PSL Research University Paris,France,31
480,University of Illinois at Urbana-Champaign,United States of America,160
490,Karolinska Institute,Sweden,13
500,University of Texas at Austin,United States of America,160
510,Fudan University,China,64
520,Shanghai Jiao Tong University,China,64
530,The University of Queensland,Australia,36
540,University of Manchester,United Kingdom,92
550,The University of Sydney,Australia,36
560,Seoul National University,South Korea,18
570,Washington University in St Louis,United States of America,160
580,The Hong Kong University of Science and Technology,Hong Kong,6
590,Wageningen University & Research,Netherlands,13
600,University of Amsterdam,Netherlands,13
610,Brown University,United States of America,160
620,Australian National University,Australia,36
630,"University of California, Davis",United States of America,160
640,"University of California, Santa Barbara",United States of America,160
650,University of Southern California,United States of America,160
660,Utrecht University,Netherlands,13
670,Zhejiang University,China,64
680,Kyoto University,Japan,22
690,University of North Carolina at Chapel Hill,United States of America,160
700,Delft University of Technology,Netherlands,13
710,Boston University,United States of America,160
720,UNSW Sydney,Australia,36
730,Charité - Universitätsmedizin Berlin,Germany,49
740,University of Science and Technology of China,China,64
750,University of Groningen,Netherlands,13
760,University of Bristol,United Kingdom,92
770,Leiden University,Netherlands,13
780,Yonsei University (Seoul campus),South Korea,18
790,Hong Kong Polytechnic University,Hong Kong,6
800,Erasmus University Rotterdam,Netherlands,13
810,University of Wisconsin-Madison,United States of America,160
820,Emory University,United States of America,160
830,University of Glasgow,United Kingdom,92
840,University of Zurich,Switzerland,12
850,McMaster University,Canada,30
860,Humboldt University of Berlin,Germany,49
870,University of Tübingen,Germany,49
880,University of Adelaide,Australia,36
890,University of Bonn,Germany,49
900,Sorbonne University,France,31
910,Free University of Berlin,Germany,49
920,Korea Advanced Institute of Science and Technology (KAIST),South Korea,18
930,Université Paris-Saclay,France,31
940,University of Bern,Switzerland,12
950,"University of California, Irvine",United States of America,160
960,Institut Polytechnique de Paris,France,31
970,Nanjing University,China,64
980,Vanderbilt University,United States of America,160
990,City University of Hong Kong,Hong Kong,6
1000,RWTH Aachen University,Germany,49
1010,University of Basel,Switzerland,12
1020,King Abdulaziz University,Saudi Arabia,19
1030,University of Minnesota,United States of America,160
1040,"University of Maryland, College Park",United States of America,160
1050,University of Warwick,United Kingdom,92
1060,Michigan State University,United States of America,160
1070,Ghent University,Belgium,10
1080,University of Birmingham,United Kingdom,92
1090,University of Southampton,United Kingdom,92
1100,University of Helsinki,Finland,10
1110,University of Montreal,Canada,30
1120,Ohio State University (Main campus),United States of America,160
1130,University of Freiburg,Germany,49
1140,University of Copenhagen,Denmark,7
1150,Université Paris Cité,France,31
1160,University of Sheffield,United Kingdom,92
1170,Aarhus University,Denmark,7
1180,University of Alberta,Canada,30
1190,University of Göttingen,Germany,49
1200,Lund University,Sweden,13
1210,Vrije Universiteit Amsterdam,Netherlands,13
1220,Lancaster University,United Kingdom,92
1230,Dartmouth College,United States of America,160
1240,Queen Mary University of London,United Kingdom,92
1250,University of Vienna,Austria,11
1260,University of Oslo,Norway,6
1270,Purdue University West Lafayette,United States of America,160
1280,University of Hamburg,Germany,49
1290,University of Leeds,United Kingdom,92
1300,University of Nottingham,United Kingdom,92
1310,University of Antwerp,Belgium,10
1320,The University of Western Australia,Australia,36
1330,University of Technology Sydney,Australia,36
1340,Case Western Reserve University,United States of America,160
1350,University of Lausanne,Switzerland,12
1360,Georgetown University,United States of America,160
1370,University of Exeter,United Kingdom,92
1380,University of Ottawa,Canada,30
1390,University of Auckland,New Zealand,8
1400,Newcastle University,United Kingdom,92
1410,Radboud University Nijmegen,Netherlands,13
1420,University of Würzburg,Germany,49
1430,University of York,United Kingdom,92
1440,University of Pittsburgh-Pittsburgh campus,United States of America,160
1450,Maastricht University,Netherlands,13
1460,University of Cologne,Germany,49
1470,Rice University,United States of America,160
1480,University of Colorado Boulder,United States of America,160
1490,Ulm University,Germany,49
1500,Uppsala University,Sweden,13
1510,University of Florida,United States of America,160
1520,Penn State (Main campus),United States of America,160
1530,Tufts University,United States of America,160
1540,University of Rochester,United States of America,160
1550,KTH Royal Institute of Technology,Sweden,13
1560,Arizona State University (Tempe),United States of America,160
1570,Technical University of Berlin,Germany,49
1580,TU Dresden,Germany,49
1590,University of Virginia (Main campus),United States of America,160
1600,University of Cape Town,South Africa,11
1610,University of Bologna,Italy,54
1620,Trinity College Dublin,Ireland,8
1630,University of Leicester,United Kingdom,92
1640,Lomonosov Moscow State University,Russia,18
1650,Pohang University of Science and Technology (POSTECH),South Korea,18
1660,Southern University of Science and Technology (SUSTech),China,64
1670,Technical University of Denmark,Denmark,7
1680,Medical University of Graz,Austria,11
1690,"Northeastern University, US",United States of America,160
1700,Indiana University,United States of America,160
1710,Université Catholique de Louvain,Belgium,10
1720,Sungkyunkwan University (SKKU),South Korea,18
1730,Wuhan University,China,64
1740,Ulsan National Institute of Science and Technology (UNIST),South Korea,18
1750,Macquarie University,Australia,36
1760,Huazhong University of Science and Technology,China,64
1770,University of Liverpool,United Kingdom,92
1780,Stockholm University,Sweden,13
1790,University of Mannheim,Germany,49
1800,University of Arizona,United States of America,160
1810,Texas A&M University,United States of America,160
1820,University of Barcelona,Spain,27
1830,Autonomous University of Barcelona,Spain,27
1840,Scuola Normale Superiore di Pisa,Italy,54
1850,University of Münster,Germany,49
1860,Pompeu Fabra University,Spain,27
1870,Cardiff University,United Kingdom,92
1880,National Taiwan University (NTU),Taiwan,11
1890,Friedrich Schiller University Jena,Germany,49
1900,Karlsruhe Institute of Technology,Germany,49
1910,University of Massachusetts,United States of America,160
1920,University of Aberdeen,United Kingdom,92
1930,"University of California, Santa Cruz",United States of America,160
1940,Medical University of Vienna,Austria,11
1950,University of Miami,United States of America,160
1960,University of Erlangen-Nuremberg,Germany,49
1970,Sichuan University,China,64
1980,Durham University,United Kingdom,92
1990,Queen’s University Belfast,United Kingdom,92
2000,University of Reading,United Kingdom,92
2010,Aalto University,Finland,10
2020,University of Bergen,Norway,6
2030,Bielefeld University,Germany,49
2040,University of Calgary,Canada,30
2050,Curtin University,Australia,36
2060,University of Dundee,United Kingdom,92
2070,University of East Anglia,United Kingdom,92
2080,Eindhoven University of Technology,Netherlands,13
2090,University of Geneva,Switzerland,12
2100,George Washington University,United States of America,160
2110,University of Gothenburg,Sweden,13
2120,University of Hohenheim,Germany,49
2130,Humanitas University,Italy,54
2140,King Fahd University of Petroleum and Minerals,Saudi Arabia,19
2150,University of Konstanz,Germany,49
2160,Korea University,South Korea,18
2170,Université Libre de Bruxelles,Belgium,10
2180,University of Luxembourg,Luxembourg,1
2190,University of Macau,Macao,2
2200,Macau University of Science and Technology,Macao,2
2210,Medical University of Innsbruck,Austria,11
2220,Moscow Institute of Physics and Technology (MIPT),Russia,18
2230,University of Newcastle,Australia,36
2240,University of Notre Dame,United States of America,160
2250,University of Padua,Italy,54
2260,University of Potsdam,Germany,49
2270,Qatar University,Qatar,1
2280,Queensland University of Technology,Australia,36
2290,RCSI University of Medicine and Health Sciences,Ireland,8
2300,Rutgers University – New Brunswick,United States of America,160
2310,"St George’s, University of London",United Kingdom,92
2320,Sant’Anna School of Advanced Studies – Pisa,Italy,54
2330,University of São Paulo,Brazil,8
2340,Sapienza University of Rome,Italy,54
2350,Semmelweis University,Hungary,2
2360,University of South Florida,United States of America,160
2370,University of St Andrews,United Kingdom,92
2380,University of Surrey,United Kingdom,92
